nct_number,study_title,recruitment_status,brief_summary,eligibility_criteria,phase,conditions,keywords,interventions,min_age,max_age,sex,study_url,disease
NCT06578689,Factors and Consequences Associated With Diabetic Foot Problems Among Diabetic Patients in Jordan,RECRUITING,"Purpose: To assess diabetic foot ulcers (DFU)-related risk factors and complications among diabetes mellitus (DM) patients in Northern Jordan. Also, to analyze the impact of educational intervention on their behavior.

Methods: The study consisted of two phases. Phase one was a prospective cross-sectional study of 200 DM patients, including 94 with a history of DFU, where demographic and clinical data were collected to assess diabetic foot-associated risk factors and complications. Phase two was a randomized clinical trial with 105 DM patients: 52 in the control group received standard care, while 53 in the intervention group received standard care supplemented with formal educational session and ongoing foot care education via mobile health by a clinical pharmacist. Foot care practices and medication adherence were evaluated at baseline and after 8 weeks of follow-up.","Inclusion Criteria:

* Adults DM (1 year)

Have a mobile phone

Exclusion Criteria:

* Cognitive impairment",N/A,Diabetic Foot,,Education,18 Years,90 Years,ALL,https://clinicaltrials.gov/study/NCT06578689,diabetes
NCT06642623,A Prospective Trial of Enavogliflozin to Evaluate Cardio-renal Outcome in Type 2 Diabetes Mellitus Patients,RECRUITING,"The novel sodium-glucose cotransporter-2 (SGLT2) inhibitor, enavogliflozin, effectively reduces glycated hemoglobin (HbA1c) levels and body weight without increasing the risk of serious adverse events. However, its long-term clinical benefits concerning cardiovascular and renal outcomes have yet to be thoroughly studied. This study is an investigator-initiated, multicenter, randomized, pragmatic, open-label, active-controlled, non-inferiority trial. Eligible participants are adults aged 19 or older with type 2 diabetes who have a history of, or are at risk for, cardiovascular disease. A total of 2,862 participants will be randomly assigned to receive either enavogliflozin or other SGLT2 inhibitors with proven cardiorenal benefits, such as dapagliflozin or empagliflozin. The primary endpoint is the time to the first occurrence of a composite of major adverse cardiovascular and renal events. This trial aims to determine whether enavogliflozin is non-inferior to dapagliflozin or empagliflozin in terms of cardiorenal outcomes in patients with type 2 diabetes and cardiovascular risk factors. It will also clarify role of enavogliflozin in preventing vascular complications in this patient population.","Inclusion Criteria:

1. Male and female adults aged 19 years and older at screening
2. Subjects diagnosed with T2D at screening
3. Subjects on treatment with or requiring treatment with enavogliflozin, dapagliflozin, or empagliflozin within the scope of label and reimbursement criteria

Exclusion Criteria:

1. Subjects with different types of diabetes mellitus other than T2D
2. Subjects with moderate to severe hepatic impairment
3. Subjects with contraindications to SGLT-2 inhibitors, i.e., kidney function disorders with estimated glomerular filtration (eGFR) \<60 mL/min/1.73 m2, end stage renal disease (ESRD), or on dialysis
4. Subjects with major comorbidities
5. Subjects with a history of hypersensitivity to enavogliflozin, dapagliflozin, or empagliflozin and any of its components
6. Pregnant or breastfeeding women",PHASE4,"Diabetes Mellitus, Type 2, Cardiovascular Diseases, Kidney Diseases",,"Enavogliflozin, Dapagliflozin or Empagliflozin",19 Years,,ALL,https://clinicaltrials.gov/study/NCT06642623,diabetes
NCT07263490,PRIOR Study (Pre-eclampsia Risk In Oocyte Recipients),RECRUITING,"The aim of this prospective observational cohort study is to investigate the pathophysiological mechanisms behind and risk of pre-eclampsia in women pregnant after fertility treatment with oocyte donation. The participants are included in of of two cohorts. One includes women pregnant after oocyte donation whereas the other includes women pregnant after IVF treatment with autologous oocytes.

Participants will be followed throughout pregnancy with blood samples, blood pressure, clinical controls and ultrasound examinations. Clinical outcomes will be registered post-partum.","Inclusion Criteria:

* Age \> 18 years
* BMI \< 35 kg/m2
* Normal wet smear within the past three years
* Both nulli- and multiparous
* Singletons and multiple gestations

Exclusion Criteria:

* Age \< 18 years
* BMI \> 35 kg/m2
* HIV/ hepatitis
* Essential hypertension
* Chronic kidney disease
* Undiagnosed vaginal bleeding
* Uterine malformations
* Persisting ovarian cysts
* Tumors in hypothalamus, pituitary, thyroid, or adrenal glands.
* Previous breast cancer
* Known BRCA 1 or 2 gene
* Unregulated thyroid disease
* Cardiovascular disease
* Breast feeding
* Present or previous chemotherapy/radiation therapy
* Present or previous malignant disease
* Smoking
* Alcohol/drug abuse",N/A,"Pre-eclampsia, Oocyte Donation, Pre-Eclampsia; Complicating Pregnancy, Pre-Eclampsia; Mild, Pre-Eclampsia, Severe, Pre-eclampsia or Eclampsia With Pre-existing Hypertension, ART, Neonatal Morbidity, Neonatal Mortality, Placental Abruption, Gestational Diabetes, Preterm Labor, Post-partum Hemorrhage (PPH), Intrauterine Growth Restriction (IUGR), Hypertensive Disorders of Pregnancy","Pre-eclampsia, Preeclampsia, ART, Gestational hypertension, Oocyte donation, Egg donation, Gamete donation",,18 Years,,FEMALE,https://clinicaltrials.gov/study/NCT07263490,diabetes
NCT06624046,"Circadian Mechanisms, Glucose, and CV Risks in T1D",RECRUITING,People with type 1 diabetes are disproportionately affected by cardiovascular disease (CVD). Short and irregular sleep have been associated with cardiovascular risk in this population. Improving sleep regularity has been associated with improved glycemic markers however mechanisms by which improving sleep regularity improves metabolic and cardiovascular health is not known. The investigators propose to conduct a mechanistic study using a sleep stability manipulation. This proposal will advance the understanding of mechanisms by which improving sleep regularity influences glycemic control and cardiovascular risk in T1D.,"Inclusion Criteria:

* Adults 18-50 years with a clinical diagnosis of T1D for at least one year
* Report habitual sleep irregularity ≥1 hour/week
* Desire to improve sleep, and own a smartphone (Android or iPhone)

Exclusion Criteria:

* Self-reported A1C within the past 6 months ≥10%
* insomnia symptoms defined as Insomnia Severity Index score ≥15
* history of restless leg syndrome
* history of severe hypoglycemia (defined as hypoglycemic episode that results in loss of consciousness, seizure, or requiring emergency room visit or hospitalization) within the past 6 months
* rotating shift or night work or routinely sleeping after 3 AM.
* use of sleep medications/aids, significant medical comorbidities (such as heart failure, cirrhosis, chronic obstructive pulmonary disease requiring oxygen, active treatment for cancer, on renal replacement therapy \[dialysis\])
* depression (Patient Health Questionnaire 8 \[PHQ-8\] score ≥15)
* history of stroke with neurological deficits
* pregnant, breast feeding, or planning pregnancy, as sleep and glucose are known to change during pregnancy and breastfeeding.
* Allergy to lidocaine Participants who passed the first screen by phone will be scheduled for a consenting visit at UIC",NA,Type 1 Diabetes (T1D),"sleep, cardiovascular disease risk, glycemic control",Sleep stability intervention,18 Years,50 Years,ALL,https://clinicaltrials.gov/study/NCT06624046,diabetes
NCT06388603,RCT on Bioactive Glass S53P4 in Diabetic Foot Osteomyelitis in the Forefoot (DFORCT),RECRUITING,"The Study will be a prospective multicenter randomized trial, focused on the management of acute and chronic Osteomilytis in Diabetic Foot patients. The aim of this Study will be to compare the effectiveness and safety of S53P4 bioactive glass, medical device class III used as per its CE mark indication and Instruction For Use, in the surgical management of OM in the forefoot performed as per local surgical standard of care, in the same indications in a group of Diabetic Foot patients admitted in highly specialized dedicated centers.

Participants will randomized into two groups:

* Patients in Group A will be treated with surgical removal of the affected bone, debridement of infected soft tissues and systemic antibiotic therapy targeted on the sampling on the bone during the surgical procedure, with or without use of bone substitutes (with the only exception of Bioactive glasses) according to the judgement of the operator as per normal practice.
* Patients in Group B will be debrided as well and the infected bone will be debrided without eliminating completely the structure of the bone, but instead preserving the cortex, while all the soft bone visibly infected will be removed and then replaced with Bioactive glass, as per IFU, (S53P4 - Bonalive® granules and putty, Bonalive Biomaterials Ltd. Finland) and then closed for primary intention whenever possible.","Inclusion Criteria:

1. Written informed consent obtained.
2. Male or female patients \>= of 18 years old.
3. They should have type I since at least 5 years or type II DM
4. They should have a diagnosis - confirmed by imaging and culture - of OM localized in the forefoot not responding for at least 2 up to 6 weeks to systemic antibiotic therapy and/or associated with soft tissue infection, abscess, phlegmon, necrosis, and for which a surgical debridement is indicated.
5. They should have palpable pulses on TP or DP at the ankle in the affected limb, and/or ABPI \>0.7 and \<1.2 and /or TcPO2 at dorsum of the foot ≥36 mmHg.
6. They should be able to accomplish with the procedures and prescriptions indicated by the Study protocol, particularly with the offloading prescription, as well as they should be willing and able to attend and respect the program of control visits and medications.
7. Anatomical area: forefoot.

Exclusion Criteria:

1. They should not have metabolic decompensation as witnessed by HbA1c \>109 mmol/mol (\> 12%).
2. They should not have major amputation on the contra-lateral limb.
3. They should not have acute or chronic Charcot's foot in the affected foot.
4. They should not have undergone surgical or endovascular revascularization in the affected foot in the month preceding the enrollment.
5. They should not be taking corticosteroids, bisphosphonates, immunosuppressants, and more in general any drug which might interfere with bone metabolism or tissue repair, in thejudgment of investigators.
6. They should not have ESRD in dialysis.
7. They should not be bedridden or not ambulating.
8. They should not have a life expectancy shorter than one year.
9. They should not be too ill to sustain a surgical procedure under loco-regional anesthesia.
10. They should not have severe disease which might interfere with the expected course of the disease and therapy.
11. Hypersensitivity to any product ingredient(s) or history of anaphylactic reactions.
12. Participation in another interventional studies within 45 days prior to the start of the present study.
13. Predictable poor compliance or inability to communicate well with the investigator.",NA,Osteomyelitis - Foot,"Diabetic Foot, Osteomyelitis, Forefoot","Bioactive Glass, Standard of Care",18 Years,100 Years,ALL,https://clinicaltrials.gov/study/NCT06388603,diabetes
NCT06578676,To Evaluate the Safety and Pharmacokinetic Interaction Between HODO-22251 and HODO-22252 in Healthy Adults,RECRUITING,The purpose of this study is to evaluate pharmacokinetic interaction and safety of co-administrated 25mg of Empagliflozin and 10/10mg Ezetimibe/Rosuvastatin in steady state in healthy volunteers.,"Inclusion Criteria:

* Signed informed consent
* Age: 19 and over , healthy volunteer
* Body mass index (BMI): 18.5≤BMI≤29.9 kg/m²

Exclusion Criteria:

* Incompletely cured pre-existing diseases for which it can be assumed that the absorption, distribution, metabolism, elimination or effects of the study drugs will not be normal
* Clinically relevant findings(e.g. blood pressure, electrocardiogram(ECG); physical and gynecological examination, laboratory examination)",PHASE1,"Type 2 Diabetes, Dyslipidemias",,"Empagliflozin 25 MG, Ezetimibe/Rosuvastatin 10/10mg, Empagliflozin 25 MG with Ezetimibe/Rosuvastatin 10/10mg",19 Years,,ALL,https://clinicaltrials.gov/study/NCT06578676,diabetes
NCT07041268,Immunotherapy of the Recent-onset Type 1 Diabetes in Adolescents With Repeated Courses of Rituximab,RECRUITING,"Type 1 diabetes (T1D) is caused by destruction of pancreatic islet beta-cells that produce insulin - the hormone required for glucose uptake by body tissues and organs. Since loss of beta-cells leads to insulin deficiency, blood glucose increases and the symptoms of T1D (thirst, hunger, excessive urination) appear. Inability of patient's tissues and organs to utilize glucose results in rapid weight loss and life-threatening acute T1D complications - ketosis and coma. To ensure glucose consumption by tissues and organs and to prevent acute complications, all patients with T1D need lifelong therapy with insulin. Insulin therapy is also necessary to prevent long-term T1D complications (eye, renal, nerve, and heart problems). By the time T1D is diagnosed, 80-90% of beta-cells have already been destroyed. However, 10-20% viable insulin-producing beta-cells remain in the pancreas over several months and even years after T1D diagnosis. The higher the percentage of the remaining beta-cells, the smaller the risk of long-term complications.

Destruction of beta-cells in T1D has an autoimmune origin. It means that the patient's immune system, which is normally targeted at microbes, viruses, and other non-self substances, mistakenly destroys the beta-cells. The key role in this autoimmune reaction is played by specific cells of the immune system: T- and B-lymphocytes. T-lymphocytes directly damage the beta-cells, while B-lymphocytes support T-lymphocytes activity via antigen presentation mechanisms.

Rituximab is a drug that specifically eliminates B-lymphocytes from the blood based on the CD20 surface molecule expressed on their surface, as a target. Notably, a subset of currently active T cells, including those potentially associated with pathogenesis of multiple sclerosis, also express CD20 marker on their surface. This makes them a potentially another critically important target of rituximab. In 2009 - 2014, a multicenter study in the U. S. and Canada showed that a single three-week course of rituximab infusions slightly but significantly had improved survival of residual beta-cells and their insulin-producing capacity in patients with recent-onset T1D. However, this beneficial action of rituximab lasted for only one year.

We hypothesized that the repeated courses of rituximab performed over a period of 5 months could produce more profound and durable elimination of pathogenic B- and T- cells, and as a consequence prolonged survival of residual beta-cells and insulin secretion without serious adverse events. Testing this hypothesis is the goal of our study","Inclusion Criteria:

* Is 12 years to 17 years 5 months of age, inclusive, at the time of randomization/initiation of rituximab administration
* Body weight 34-80 kg for males, and 37-80 for females
* Has received a diagnosis of type 1 diabetes mellitus (T1D), ICD-10 codes E10.1 or E10.9, according to the criteria from the Russian Association of Endocrinologists
* The duration of T1D (time from diagnosis to screening) is \< 4 months
* Is able to be randomized and initiate rituximab infusions within 4 months (122 days) of the formal T1D diagnosis
* Has a peak stimulated C-peptide of ≥ 200 pmol/L from a MMTT at screening
* Is positive for at least one of T1D-related autoantibodies (ICA, GADA, IA-2A, ZnT8A) at screening
* Participant AND his/her legally authorized representative have signed the Informed Consent Form
* Citizenship of the Russian Federation

Exclusion Criteria:

* Has any autoimmune disease other than T1D with the exception of stable thyroid or celiac disease
* Has an active infection and/or fever
* Has a history of or serologic evidence of current or past infection with Mycobacterium tuberculosis, human immunodeficiency virus (HIV), hepatitis B virus (HBV), or hepatitis C virus (HCV) at screening
* Has a history of primary immunodeficiency
* Has a medical, psychological or social condition that, in the opinion of the Principal Investigator, would interfere with safe and proper completion of the trial
* Participant AND his/her legally authorized representative have not signed the Informed Consent Form",PHASE2,"Diabetes Mellitus, Type 1",,rituximab,12 Years,18 Years,ALL,https://clinicaltrials.gov/study/NCT07041268,diabetes
NCT06989723,Pioglitazone and Empagliflozin for Fatty Liver Disease in Type 2 Diabetes,RECRUITING,"This exploratory study will assess the efficacy of combined pioglitazone and empagliflozin therapy in improving hepatic and metabolic outcomes in patients with type 2 diabetes mellitus and metabolic dysfunction-associated fatty liver disease (MAFLD). Although each agent has shown beneficial effects individually, evidence on their combined impact on liver health is scarce. This study seeks to determine whether the combination therapy yields additive improvements in hepatic steatosis, inflammation, and fibrosis, potentially offering a new therapeutic strategy for diabetic patients with fatty liver disease.","Inclusion Criteria:

1. Adults aged 20 years or older.
2. Patients with inadequately controlled type 2 diabetes mellitus, defined as HbA1c between 7% and 10%, who are currently treated with either:

   * Combination therapy of metformin and a sulfonylurea, or
   * Combination therapy of metformin and a DPP-4 inhibitor, or
   * Metformin monotherapy, or
   * Triple therapy (including metformin) provided that sulfonylurea will be discontinued upon study enrollment.
3. Evidence of hepatic steatosis within the past 3 months, confirmed by Fibroscan with a controlled attenuation parameter (CAP) ≥ 268 dB/m (consistent with S2 or greater \[≥10% hepatocyte steatosis\] according to the 2024 EASL-EASD-EASO guidelines).
4. Presence of at least one of the following metabolic abnormalities:

   * Waist circumference ≥90 cm for men or ≥85 cm for women.
   * Blood pressure ≥130 mmHg systolic or ≥85 mmHg diastolic, or use of antihypertensive medication.
   * Serum triglycerides ≥150 mg/dL or current use of lipid-lowering agents.
   * HDL-cholesterol ≤45 mg/dL for men or ≤50 mg/dL for women.
   * HOMA-IR (Homeostatic Model Assessment of Insulin Resistance) ≥2.5.
   * Serum C-reactive protein (CRP) ≥2 mg/L.
5. No changes in anti-diabetic or metabolic medications within the past 3 months, unless the changes are deemed by the investigator not to affect study outcomes.

Exclusion Criteria:

1. Patients receiving insulin therapy or diagnosed with type 1 diabetes mellitus.
2. Use of the following medications within the past 3 months: GLP-1 receptor agonists, SGLT2 inhibitors, rosiglitazone (TZD), vitamin E, or ursodeoxycholic acid (UDCA).
3. Presence of secondary causes of hepatic steatosis unrelated to metabolic dysfunction, such as hepatitis B, hepatitis C, or alcoholic fatty liver disease.
4. Use of medications known to induce hepatic steatosis, including valproic acid, estrogen, tamoxifen, amiodarone, or chloroquine.
5. Severe organ failure, defined as:

   * Liver failure: AST or ALT \> 5 times the upper normal limit (UNL), serum albumin \< 3.2 g/dL, platelet count \< 60,000/µL, or Child-Pugh-Turcotte stage B or C.
   * Renal failure: Serum creatinine ≥ 2.0 mg/dL, estimated glomerular filtration rate (eGFR) \< 30 mL/min/1.73 m² (CKD-EPI formula), or patients with end-stage renal disease or on dialysis.
6. Presence of hepatocellular carcinoma, active malignancy, or metastatic cancer.
7. History of or active bladder cancer.
8. History of heart failure or current diagnosis of heart failure.
9. Presence of terminal illnesses.
10. History of gallstone disease, chronic pancreatitis, or acute pancreatitis.
11. Underweight patients (body mass index \[BMI\] \< 18.5 kg/m²).
12. Pregnant women or women planning to become pregnant.
13. Known hypersensitivity to the active ingredients or excipients of the study medications.
14. History of diabetic ketoacidosis.",PHASE4,"Type 2 Diabetes, Fatty Liver",,"Pioglitazone 15 MG [Actos], Empagliflozin 10 MG [Jardiance], Empagliflozin 10 MG [Jardiance] + Pioglitazone 15 MG [Actos]",20 Years,,ALL,https://clinicaltrials.gov/study/NCT06989723,diabetes
NCT07097415,The Application of Continuous Blood Glucose Monitoring in Optimizing the Management of Type 2 Diabetes,RECRUITING,"This study investigates the effectiveness and implementation of continuous glucose monitoring (CGM) technology for type 2 diabetes management in Chinese community healthcare settings. Type 2 diabetes represents a significant public health challenge in China, with traditional blood glucose monitoring methods presenting limitations including patient discomfort, incomplete glucose data, and delayed information transmission to healthcare providers. CGM devices offer continuous, real-time glucose monitoring with the potential to improve patient outcomes and healthcare delivery efficiency.

This quasi-experimental pragmatic trial employs an effectiveness-implementation Type II hybrid design, enrolling 800 adults with type 2 diabetes from two community health centers in Yinzhou District, Ningbo. Participants are randomly assigned to either a CGM intervention group or a control group using traditional self-monitoring blood glucose methods. The CGM group receives device training and wears CGM systems for three separate 2-week periods over 24 weeks, while the control group continues standard monitoring practices. The primary outcome is change in glycated hemoglobin (HbA1c) levels, with secondary outcomes including other metabolic markers, patient satisfaction, and quality of life measures. Simultaneously, the study explores implementation factors using the Consolidated Framework for Implementation Research (CFIR) through qualitative interviews with healthcare providers and quantitative surveys with patients. This comprehensive approach aims to provide evidence for CGM effectiveness in Chinese patients while identifying barriers and facilitators for successful implementation in community healthcare settings, ultimately informing strategies for improving diabetes management at the population level.","Inclusion Criteria:

* ① Age ≥ 18 years old; ② There is a previous diagnosis of T2DM in the electronic medical record system of Qianhu Hospital and Fuming Street Community Health Service Center, and the diagnosis has been made for 1 year or more; ③ Resident with permanent registered residence registration who has filed in the health records of residents in Yinzhou District.

Exclusion Criteria:

* ① Pregnant women; ② Type 1 diabetes, adult latent autoimmune diabetes, special type diabetes (such as post pancreatic surgery, monogenic diabetes); ③ Patients who are currently using or have previously used hormone drugs that may affect blood sugar levels; ④ Patients with severe renal insufficiency (eGFR\<30ml/m \^ 2, or undergoing hemodialysis); ⑤ Patients with severe liver dysfunction (ALT or AST greater than 3 times the upper limit of normal); ⑥ Tumor patients.",NA,"Continuous Glucose Monitoring, Type 2 Diabetes (T2DM)",,Continuous blood glucose monitoring assisted blood glucose management,18 Years,,ALL,https://clinicaltrials.gov/study/NCT07097415,diabetes
NCT05124808,Intensive Glycemic Targets in Overweight and Obese Women With Gestational Diabetes,RECRUITING,This is a multicenter randomized clinical trial of 828 overweight and obese individuals with gestational diabetes designed to compare standard to intensive glycemic targets.,"Inclusion Criteria:

* Pregnant women between the ages of 18-45
* Singleton gestation
* Gestational age between 12 0/7-32 6/7 weeks' gestation with gestational diabetes diagnosed during this time frame using either a 50g 1-hr GCT ≥200 mg/dL or two or more abnormal values on a 100g OGTT using the Carpenter-Coustan Criteria
* Overweight or obese BMI at the first prenatal visit (BMI ≥25 kg/m2 or ≥23 kg/m2 in Asian Americans)

Exclusion Criteria:

* Inability or unwillingness to provide informed consent
* Inability to communicate with members of the study team, despite the presence of an interpreter
* Planned delivery at a non-study affiliated hospital
* Known renal disease with a baseline creatinine \>1.5 mg/dL
* Significant fetal anomalies diagnosed prior to study enrollment (these will include anomalies such as gastroschisis, spina bifida, complex congenital heart disease, or serious karyotypic anomalies that may lead to early delivery or increased risk of neonatal death)
* Oral or IV/IM steroid use within 7 days of study enrollment",NA,"Gestational Diabetes, Pregnancy, High Risk, Overweight and Obesity",,"Intensive glycemic targets, Standard glycemic targets",18 Years,45 Years,FEMALE,https://clinicaltrials.gov/study/NCT05124808,diabetes
